Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-325.83185	270.23483	-21.535933	-670.0686	496.2857	-0.1003014	0.087331675	0.18755165	-0.519425	4000	4.6014787e-08	3383.3137	-0.018819254	-1971.3119	0.9189443	0.023222268	0.27125	2.0	13.189887523651123
1	-249.6677	262.92822	-9.712786	-694.0223	419.1111	-23.108839	6.684369	-5.752599	-55.224026	8000	2.2649765e-08	1207.66	-0.010832795	-726.9075	0.91694295	0.01655419	0.258	3.0	26.115789651870728
2	-57.8493	46.934433	-4.3684864	-202.63322	84.18421	-48.815056	11.441452	-8.369291	-90.30994	12000	-2.9802323e-09	942.8743	-0.012432557	-370.24182	0.91441405	0.01565408	0.26825	5.0	39.38685727119446
3	-81.31931	121.665436	1.7810805	-653.2612	137.93103	-31.813072	7.310744	-3.9187932	-57.192036	16000	3.4570693e-09	612.709	-0.012989713	-54.394897	0.91072017	0.01620531	0.2545	6.0	52.56577491760254
4	-122.13448	202.72287	-1.779173	-592.7034	219.22223	-33.868454	7.6743727	-3.3450725	-64.3247	20000	-1.0490417e-08	511.61093	-0.01124706	-173.22253	0.9062944	0.017510608	0.231	5.0	66.10740065574646
5	-171.93332	176.77606	-16.023304	-525.50793	306.1	-42.578907	9.738448	-2.8898668	-81.57479	24000	1.6331672e-08	359.5123	-0.06169739	-64.13202	0.90275466	0.0038204284	0.30575	79.0	81.87030529975891
6	-128.79652	186.52269	-4.61364	-585.3086	237.92308	-43.206764	8.1471	-2.7324538	-75.75472	28000	2.0503998e-08	356.04355	-0.013520753	-44.915985	0.8923319	0.016052771	0.29375	5.0	95.79213643074036
7	-103.3869	168.7722	-1.0466439	-551.8169	201.6842	-45.255444	7.875311	-1.6664631	-70.53358	32000	2.384186e-10	302.4439	-0.014348802	-54.683044	0.8900179	0.015767759	0.27325	5.0	109.12317442893982
8	-54.44937	90.99791	1.7736838	-480.0592	105.828575	-38.944775	9.092688	-0.41054392	-67.37459	36000	7.927418e-09	710.85034	-0.013312443	-148.96747	0.8855665	0.01784512	0.2925	5.0	122.34070539474487
9	-74.9172	121.21745	5.8203745	-468.0959	183.2381	-30.152767	8.285236	-0.090404764	-54.815704	40000	0.0	274.56982	-0.012142111	-30.160706	0.8802257	0.020879952	0.28475	4.0	136.4269380569458
10	-84.88362	136.48338	5.7024055	-478.742	197.26315	-30.288004	8.559678	0.12212326	-53.24346	44000	5.841255e-09	293.36584	-0.010463102	-50.619247	0.8755826	0.016607074	0.3065	5.0	149.45701050758362
11	-106.17577	143.55823	9.79656	-489.11438	219.13333	-38.050217	9.549356	0.27126795	-60.08877	48000	1.1324882e-08	243.96625	-0.01286425	-23.15422	0.86957544	0.019022169	0.2185	3.0	162.6496386528015
12	-92.15646	151.66412	21.19051	-419.9169	245.875	-36.223766	8.734183	0.14725542	-60.1703	52000	-1.2040139e-08	244.14238	-0.0094239265	-22.83046	0.8659372	0.016410511	0.26975	3.0	176.17378091812134
13	-100.5393	148.58534	6.2730823	-456.93854	232.17647	-33.00431	8.650934	0.11626248	-56.095943	56000	1.1444092e-08	191.41684	-0.0064990744	-14.813461	0.86225367	0.016415725	0.2805	4.0	189.49471831321716
14	-66.25152	103.238754	24.895788	-394.1382	180.81818	-30.579735	9.789723	0.12197772	-64.03713	60000	2.2649764e-09	223.79097	-0.009189714	-24.91008	0.85738766	0.01948524	0.277	4.0	202.74886560440063
15	-56.738667	88.040504	13.036593	-394.4166	165.80952	-27.241375	9.66219	0.07750732	-54.770042	64000	-1.0371208e-08	294.14133	-0.012073855	-20.287994	0.85310185	0.01785856	0.2625	4.0	215.82752346992493
16	-63.966496	107.88884	12.549731	-387.1136	169.26315	-28.02053	8.063265	-0.04131137	-50.410336	68000	-1.5735626e-08	142.76083	-0.009604993	-26.117699	0.84928113	0.019399712	0.27575	4.0	229.077045917511
17	-44.53865	79.68588	23.76851	-373.78317	163.41667	-26.620941	11.094936	0.021332994	-56.470726	72000	4.1007997e-08	397.49228	-0.01335643	-122.32211	0.8447394	0.017889665	0.33325	5.0	242.37285614013672
18	-59.410416	96.1625	3.0948398	-381.46283	172.0	-20.646946	7.687097	-0.09650034	-48.533783	76000	9.775162e-09	192.70001	-0.011556214	-38.7361	0.8389795	0.01944914	0.284	5.0	255.71169996261597
19	-88.705864	141.5091	33.23526	-418.1468	282.0	-24.676622	8.505509	-0.057836443	-47.76398	80000	-1.4305115e-09	327.93774	-0.01193689	-30.851013	0.8337233	0.021394322	0.245	4.0	268.84878849983215
20	-32.970406	40.70438	26.400175	-126.811676	142.32143	-22.636368	8.234655	-0.4351682	-54.569893	84000	1.2397766e-08	369.55463	-0.01039615	-107.534485	0.8295827	0.021456165	0.2895	4.0	281.89217042922974
21	-36.912624	62.111584	21.125212	-299.71365	161.41667	-14.44459	5.1634865	-0.41296768	-32.568356	88000	-1.8000602e-08	221.94548	-0.00997574	-15.875549	0.8254245	0.02234285	0.28625	4.0	295.0666604042053
22	-70.83787	92.87652	0.23213895	-301.37668	216.66667	-17.765453	5.823843	-0.23074418	-39.630272	92000	-2.1219254e-08	307.3958	-0.011792089	-87.121155	0.821243	0.018651554	0.32325	5.0	308.54040479660034
23	-33.784977	65.67801	29.176355	-263.972	131.2	-24.325508	8.066703	-0.4173206	-45.70238	96000	-9.536743e-09	213.87535	-0.011827079	-67.31543	0.8158076	0.0167327	0.23475	4.0	321.93913292884827
24	-62.394684	91.88575	7.3059006	-298.236	232.57143	-22.220633	8.76539	-0.09203082	-43.202587	100000	-1.168251e-08	127.26278	-0.0093269665	-19.107262	0.811238	0.015274283	0.266	4.0	334.9416251182556
25	-20.957113	47.10628	35.661705	-272.9945	97.04878	-17.542645	6.80756	-0.34161916	-37.290558	104000	7.152557e-09	192.54355	-0.0121862665	-53.486008	0.8062146	0.015619054	0.27625	6.0	348.1421389579773
26	-33.21074	61.60785	54.82374	-279.46085	141.62962	-14.960979	8.716456	0.14303778	-42.05275	108000	-1.0490417e-08	321.2224	-0.01037984	-30.29602	0.79898447	0.016693909	0.25325	5.0	361.15560722351074
27	-30.083174	56.206177	51.481712	-224.50945	132.4	-13.041699	7.1735153	0.33990103	-34.785114	112000	6.198883e-09	311.76974	-0.011814652	-30.315918	0.7936169	0.016082242	0.211	4.0	374.6449546813965
28	-25.577831	81.18902	88.468216	-274.89465	148.18182	-18.735664	7.747391	0.17889123	-42.942364	116000	-4.053116e-09	251.35622	-0.009748337	-31.037674	0.7895874	0.020091312	0.27575	4.0	388.1593191623688
29	-17.771887	42.091362	28.184206	-233.98753	104.052635	-12.731838	8.033699	0.14057061	-40.636147	120000	-9.298325e-09	174.68106	-0.007939122	-15.891632	0.7854073	0.019769454	0.22825	4.0	401.52962279319763
30	-9.036906	48.177505	62.062187	-232.42403	114.333336	-12.109112	8.001498	0.30186582	-35.226196	124000	-2.1219254e-08	219.98141	-0.010502758	-28.864578	0.7815329	0.017361691	0.2785	4.0	415.04539728164673
31	-37.39093	66.88536	47.521988	-179.17455	161.10527	-11.104302	8.109578	0.8262804	-33.90711	128000	1.6212464e-08	424.99957	-0.011160707	-123.432556	0.7774714	0.018072627	0.26625	4.0	428.0388123989105
32	-21.683437	51.13897	27.314148	-189.20938	157.72	-17.723312	8.684006	0.65132105	-44.2791	132000	1.9788741e-08	324.0023	-0.01099528	-73.8755	0.7730294	0.021175653	0.2695	4.0	441.6120517253876
33	-36.072197	53.1821	24.7863	-169.76456	216.16667	-14.730909	7.7375455	0.9143404	-38.729374	136000	9.030104e-09	147.43709	-0.070875205	-27.024574	0.7687185	0.013184912	0.34175	79.0	456.9690351486206
34	-11.792483	47.76291	45.960217	-176.65413	171.05556	-12.902034	6.08195	0.24383889	-34.758656	140000	2.5749207e-08	158.6303	-0.014077786	-34.35402	0.75472987	0.0155076	0.2575	4.0	470.3135726451874
35	-2.9856381	34.65634	51.14192	-112.82083	128.54839	-6.6891403	6.5354853	0.9733257	-29.187685	144000	-1.7762185e-08	243.96976	-0.01124209	-23.083649	0.7537209	0.018139232	0.20625	3.0	483.05981945991516
36	-19.414993	55.740337	43.625694	-212.34216	126.6	-8.569934	8.229789	2.5800688	-32.292034	148000	1.502037e-08	238.53123	-0.008089065	-39.63208	0.752034	0.017151972	0.234	3.0	493.4268128871918
37	-12.592569	62.247547	83.09406	-227.09291	181.59091	-10.118328	8.710954	4.045533	-41.592995	152000	9.536743e-09	266.57474	-0.008407242	-30.10933	0.749848	0.02034991	0.29	3.0	503.73779821395874
38	-0.4620316	33.245045	60.008587	-79.519264	165.36842	-11.889613	8.718908	5.6518373	-40.267704	156000	-8.2850455e-09	128.29608	-0.006904079	-35.63067	0.7473034	0.017167142	0.257	3.0	514.6491234302521
39	-4.096711	44.054024	51.153423	-123.173355	226.0	-8.68819	8.6767845	8.559291	-29.257433	160000	-8.106232e-09	115.86015	-0.011450231	-21.87893	0.7444716	0.02212318	0.259	3.0	526.1399357318878
40	-10.109687	38.91588	37.60803	-156.11134	166.58333	-4.80883	10.618992	11.8700285	-40.11892	164000	1.168251e-08	192.0845	-0.008008146	-38.557755	0.7411367	0.02442296	0.301	3.0	538.0519094467163
41	1.7068622	32.155437	60.018707	-128.58115	107.548386	-6.9759307	8.13092	8.764525	-30.027859	168000	9.298325e-09	227.69957	-0.0082664015	-42.97664	0.7376492	0.015106137	0.155	2.0	548.2906038761139
42	4.473065	52.382233	50.388065	-153.7469	254.92308	-6.0406904	6.209282	10.393075	-20.886421	172000	1.2397766e-08	206.03725	-0.006218283	-65.428024	0.7353283	0.02444657	0.28525	3.0	558.9912621974945
43	-19.297297	44.198456	61.69521	-99.50747	314.16666	-6.4852023	11.61661	24.513258	-27.13424	176000	5.2452087e-09	119.297356	-0.008714725	-52.151558	0.73188287	0.017381031	0.2925	4.0	569.9262804985046
44	-10.090888	32.898003	41.98182	-113.00156	246.0	-5.868227	6.584338	11.87359	-26.186615	180000	-1.1920929e-08	148.78745	-0.010548235	-16.939133	0.7269733	0.018564489	0.2795	4.0	582.4344344139099
