Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-392.31277	259.5822	-36.11145	-663.3838	575.6667	-0.10255652	0.086631484	0.21376	-0.5605252	4000	-1.04546544e-07	56573.848	-0.017548315	-9054.582	0.9189443	0.020208856	0.26175	2.0	10.344786167144775
1	-189.9642	242.03026	-11.774491	-666.1685	295.30768	-24.53741	7.0887	-5.212039	-67.8281	8000	-7.8678134e-08	48248.63	-0.008279997	-28652.246	0.9169567	0.017289648	0.25125	3.0	19.942455291748047
2	-118.266525	183.42462	2.0317736	-619.355	194.76471	-168.62505	38.58612	-35.038094	-324.38593	12000	1.1205673e-08	29509.574	-0.013814857	-5621.8105	0.9143395	0.016428407	0.27575	5.0	30.45216727256775
3	-111.139435	173.6434	0.71632016	-644.7725	177.18182	-218.62318	46.72182	-21.865772	-377.68655	16000	3.4570693e-08	42293.836	-0.011229058	-4528.8867	0.91091865	0.015952393	0.25875	5.0	43.289769411087036
4	-181.2993	231.85088	1.9142483	-654.45465	298.0	-238.74866	47.63944	-5.5300517	-386.18668	20000	1.2397766e-08	25808.355	-0.011102223	-3810.8066	0.9081096	0.016772864	0.30575	6.0	54.159162521362305
5	-142.56218	165.03276	10.534837	-586.6797	230.23529	-270.80917	54.318123	-4.1565557	-488.4791	24000	2.7656554e-08	34062.12	-0.062226735	-5583.375	0.90512556	0.007848566	0.3005	79.0	65.66493391990662
6	-64.38122	95.30777	5.441048	-512.9074	124.206894	-231.57306	51.306225	1.5020984	-398.3433	28000	2.3841857e-09	28802.904	-0.078083076	-10706.203	0.8944881	0.012914797	0.387	79.0	78.18815517425537
7	-88.62829	161.46614	18.412834	-560.92126	170.57895	-150.15184	36.79928	2.2393537	-273.37015	32000	-2.1100044e-08	23897.03	-0.015946591	-8047.706	0.88883156	0.016009906	0.309	5.0	88.56523370742798
8	-96.18899	147.22304	0.93570805	-566.59235	162.95454	-218.59544	55.991875	3.5549414	-370.51202	36000	-4.9114227e-08	16763.629	-0.011963578	-2610.0732	0.8880731	0.019119624	0.29875	4.0	98.02799987792969
9	-209.34128	207.41205	-24.574352	-560.70447	383.9	-231.27094	61.020973	5.5547967	-381.87164	40000	-3.0994416e-09	17454.98	-0.011989219	-6584.0723	0.8862282	0.021038346	0.31975	4.0	108.38662052154541
10	-96.768196	140.56726	-1.9803714	-557.4023	165.5	-263.91885	89.83625	8.341837	-486.72485	44000	-1.5377998e-08	22966.0	-0.009407879	-6430.508	0.88357055	0.019600565	0.24775	3.0	117.3916027545929
11	-122.1498	179.36908	6.7673845	-574.47766	235.17647	-280.7308	108.50239	12.92288	-504.721	48000	-3.2901763e-08	23306.734	-0.0062573804	-3733.1348	0.881816	0.021288108	0.2565	3.0	127.18395853042603
12	-75.8354	121.32151	-1.0391825	-560.47406	129.0	-245.20569	123.94965	11.736583	-526.5754	52000	2.6226044e-08	17310.322	-0.007707459	-2890.5	0.8801412	0.01703282	0.2705	3.0	136.61048698425293
13	-90.23003	155.71571	-3.523462	-633.7759	135.34616	-238.73166	131.81404	14.032064	-577.4998	56000	3.552437e-08	29665.812	-0.008908584	-5853.76	0.87865883	0.019441467	0.3005	4.0	146.03902530670166
14	-95.56691	142.28268	0.9277138	-528.16064	152.66667	-280.65506	128.73802	14.209336	-574.50134	60000	-4.7683715e-09	20095.688	-0.011251708	-2739.9434	0.8762732	0.015894141	0.18275	3.0	155.8725233078003
15	-225.39586	263.87747	-11.046986	-624.28467	391.77777	-344.04553	112.54386	15.015085	-571.6179	64000	-1.0490417e-08	16840.633	-0.005848275	-3733.7588	0.87447643	0.016018456	0.23575	3.0	165.91690802574158
16	-94.20359	155.83855	-1.541199	-618.28107	154.45833	-323.79843	125.4842	12.207326	-605.93616	68000	-3.194809e-08	28096.531	-0.009197878	-11507.014	0.8726522	0.015556416	0.3245	4.0	175.37066745758057
17	-66.231705	101.55651	2.8517232	-611.5935	90.567566	-232.76616	191.70303	19.694082	-667.9213	72000	4.7683715e-09	20250.549	-0.013415046	-2448.2246	0.8697202	0.01894635	0.34575	5.0	184.59004521369934
