Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	14.337509	17.740925	43.217155	-2.9629707	1000.0	0.038997337	0.08879414	0.47195154	-0.19784208	4000	6.3180923e-09	55.832806	-0.01289051	-26.071787	0.918941	0.017701833	0.2625	6.0	4.132811784744263
1	11.122492	12.224696	30.233156	-3.7730722	1000.0	-1.9214514	2.6498165	9.464679	-5.852345	8000	-1.31726265e-08	11.778655	-0.008408817	-5.0314274	0.91899866	0.01540542	0.219	5.0	7.771371126174927
2	16.576017	7.9322124	23.40587	3.2109468	1000.0	-1.338042	1.5856706	9.933218	-3.6279428	12000	-3.98159e-08	6.406348	-0.0031914646	-3.4722764	0.9187312	0.016076485	0.27175	6.0	11.417340993881226
3	13.810878	7.742238	25.16178	5.1082335	1000.0	0.3596269	2.6509304	16.37202	-1.9157523	16000	-1.2159347e-08	4.2626505	-0.00853411	-0.95271564	0.91883117	0.005517748	0.095	79.0	15.596046686172485
4	5.1418686	10.64268	21.169842	-6.4341097	1000.0	0.15433988	2.0633461	16.335608	-1.5952812	20000	-5.9604646e-09	6.033347	-0.0093921535	-2.8080132	0.90115374	0.005375763	0.04475	79.0	19.813029289245605
5	22.261946	2.5682595	23.83626	17.814772	1000.0	0.008749256	1.7524639	14.02252	-1.281067	24000	-5.9604646e-09	6.1999426	-0.00861659	-4.6783056	0.9171278	0.0040817815	0.076	79.0	24.03230094909668
6	20.161942	2.4245353	23.905817	17.898268	1000.0	2.7331572	5.169303	23.918165	-1.0474057	28000	-1.3589859e-08	30.607552	-0.009906543	-25.88755	0.9122934	0.006199471	0.0545	79.0	28.272928953170776
7	21.821388	2.9001904	25.313524	18.470074	1000.0	0.19508386	2.3115528	19.18474	-0.9779062	32000	-3.8146974e-09	1.570342	-0.010504436	-0.5033649	0.9246365	0.0050851726	0.0575	79.0	32.57479929924011
8	23.663988	1.9204998	26.949305	22.078743	1000.0	0.030914024	2.9247735	21.888693	-1.762602	36000	-8.106232e-09	1.929991	-0.0038558755	-0.537593	0.93491405	0.017453367	0.23375	6.0	36.19951033592224
9	24.594757	2.6022942	28.05875	21.942976	1000.0	0.99131596	3.0942483	25.207638	-1.2739028	40000	8.5830685e-09	1.7557104	-0.0086042015	-0.75037086	0.93596005	0.0053087333	0.04275	79.0	40.46682953834534
10	25.484203	3.5355139	29.6798	20.024529	1000.0	0.42635667	3.0524395	21.833862	-2.1253724	44000	-8.34465e-09	1.1907576	-0.0056462623	-0.3720063	0.92462206	0.015701411	0.28075	5.0	44.11861562728882
11	30.617575	2.6200416	34.74229	27.622967	1000.0	1.3625579	3.111367	24.359394	-1.5618384	48000	-5.2452087e-09	1.1403548	-0.004504489	-0.3572607	0.9240321	0.017964836	0.22775	5.0	47.72238039970398
12	33.545433	1.1027336	34.70803	31.734201	1000.0	0.8174433	3.024277	22.512774	-2.8704243	52000	7.629395e-09	1.6687452	-0.0060266345	-0.64756215	0.92420715	0.017869985	0.2405	3.0	51.28765869140625
13	29.796444	3.5123305	35.19016	26.383636	1000.0	1.8550957	2.7886376	24.890663	-1.2619404	56000	-1.0371208e-08	1.3071536	-0.0058790212	-0.5397801	0.9241955	0.021232536	0.269	5.0	55.54550051689148
14	29.748386	2.3222983	32.318066	27.405561	1000.0	0.6959556	2.8741598	23.115042	-5.0107355	60000	-3.0994416e-09	1.2759228	-0.0082441475	-0.47909123	0.92299825	0.005484992	0.061	79.0	60.93000936508179
15	29.24366	2.210744	31.71073	26.957476	1000.0	1.3160688	2.7245371	22.991419	-2.1156511	64000	0.0	0.66020364	-0.011794586	-0.11859697	0.9143087	0.0056745224	0.0585	79.0	65.9676718711853
16	33.604355	1.3483231	35.759556	32.03804	1000.0	1.0144757	2.9112036	23.784454	-2.1435876	68000	1.5735626e-08	0.7655441	-0.012378354	-0.3626323	0.8936161	0.0063601886	0.07975	79.0	70.4008252620697
17	33.468376	2.4454315	37.605537	31.45478	1000.0	1.4343047	2.901024	24.778296	-0.90899014	72000	-7.867813e-09	0.61033326	-0.011716147	-0.12754127	0.8633076	0.0029502679	0.05925	79.0	75.16099143028259
18	35.01275	1.637675	36.47404	32.270203	1000.0	1.2304143	3.0107548	25.82813	-0.67720616	76000	-7.629395e-09	0.31862053	-0.012377286	-0.06331161	0.84219384	0.008168701	0.08775	79.0	79.95182299613953
19	36.134064	2.1482575	38.51829	32.775352	1000.0	1.2933315	3.0799098	26.820002	-0.7779617	80000	1.692772e-08	0.24859534	-0.009351356	-0.064392686	0.82023925	0.0047516543	0.06575	79.0	84.19829535484314
20	37.87044	1.1091281	39.644073	36.89095	1000.0	1.1433684	3.0699294	27.360807	-1.3754256	84000	2.002716e-08	0.32458207	-0.0082508195	-0.11365381	0.80010206	0.0053555234	0.0385	79.0	88.6620123386383
21	35.15918	0.42520502	35.839634	34.702316	1000.0	1.7071648	3.0449164	26.26538	0.039629042	88000	-2.9325486e-08	0.39526576	-0.0057383277	-0.20148787	0.7987822	0.01808883	0.31525	2.0	92.45541548728943
22	35.018196	1.3572999	37.315998	33.788464	1000.0	1.0197166	3.2918673	25.762812	-1.4855767	92000	6.6757204e-09	0.23664352	-0.00037292004	-0.055760622	0.79874796	0.022311756	0.28675	6.0	96.28733444213867
23	37.878754	2.581734	41.02143	33.869633	1000.0	1.2254922	3.1664917	26.812948	-1.0125068	96000	-7.390976e-09	0.25698805	-0.0068568834	-0.10023792	0.7977944	0.0052707046	0.03325	79.0	100.48163032531738
24	35.32063	2.0423703	38.26556	32.49826	1000.0	1.54798	3.12696	26.276802	-0.6587979	100000	-3.8146974e-09	0.22205472	-0.011112386	-0.05834441	0.780565	0.006329414	0.042	79.0	104.535724401474
25	38.286552	1.623017	41.0233	36.780685	1000.0	1.2987072	3.0647228	26.054792	-1.3823699	104000	-7.7486035e-09	0.22785114	-0.009902885	-0.097862676	0.7874324	0.003189455	0.04675	79.0	108.7270405292511
26	38.823162	1.0648909	40.477226	37.808308	1000.0	1.4477626	3.157885	26.167595	-1.6905254	108000	2.3841857e-09	0.16291454	-0.012674353	-0.030307934	0.8007703	0.009581693	0.076	79.0	112.9481348991394
27	37.716198	1.1983771	38.708763	35.74213	1000.0	1.2783996	3.0911617	26.282211	-2.5842855	112000	-7.867813e-09	0.24806625	-0.0100026	-0.097961605	0.77750605	0.006817738	0.08475	79.0	117.20189189910889
28	37.879955	1.3363957	39.150402	35.724857	1000.0	1.466593	3.1541479	27.329494	-2.1837716	116000	-1.6272068e-08	0.22894375	-0.0043820445	-0.039981887	0.76629335	0.015878903	0.117	3.0	121.01848649978638
29	37.06913	1.0418607	38.492332	35.564785	1000.0	1.3230712	3.1520345	26.50457	-2.1207962	120000	-1.1324882e-09	0.15608874	-0.008994047	-0.028970644	0.76610273	0.0033224244	0.0345	79.0	125.31545233726501
30	38.74349	1.699264	41.013985	36.318226	1000.0	1.5734296	2.9596765	27.228058	-0.93877554	124000	9.536744e-10	0.19152085	-0.009349731	-0.0566843	0.7573619	0.0035823095	0.04325	79.0	129.5214536190033
31	37.955173	1.2338477	39.367313	35.99893	1000.0	1.3960218	3.058161	25.915306	-2.294942	128000	-5.2452087e-09	0.27160057	-0.011641823	-0.10832819	0.7508494	0.0068452754	0.05925	79.0	133.58359003067017
32	38.85478	1.8542895	40.930553	36.46298	1000.0	1.3983572	2.974209	26.053673	-1.2131672	132000	7.390976e-09	0.13400811	-0.010535221	-0.019727051	0.7665625	0.0035208105	0.05025	79.0	137.84876370429993
33	37.754757	1.8060132	40.064278	35.577774	1000.0	1.3789134	3.1428819	26.621313	-1.9252038	136000	4.6491624e-09	0.1516722	-0.0118220765	-0.021595761	0.7483653	0.012795336	0.0775	79.0	142.2405023574829
34	38.29199	0.68023396	39.355457	37.45943	1000.0	1.4020423	3.0786335	26.017979	-1.8356714	140000	7.1525574e-10	0.15779543	-0.009936519	-0.030021384	0.72789747	0.0071986206	0.07225	79.0	146.4819095134735
35	36.006977	2.824241	39.424835	31.80665	1000.0	1.0029551	3.2137847	27.029745	-2.6851807	144000	-9.298325e-09	0.18441269	-0.010966834	-0.06354498	0.7318186	0.010310549	0.05925	79.0	150.9428744316101
36	39.602962	2.8395934	44.18188	36.674164	1000.0	1.2234794	3.0938575	26.473423	-1.4146729	148000	3.8146974e-09	0.25553462	-0.012187844	-0.08653343	0.7018917	0.007066797	0.0765	79.0	155.16467666625977
37	40.233482	1.4159797	41.682537	37.987938	1000.0	1.6699591	3.0795467	25.85782	-1.5093768	152000	9.059906e-09	0.10073108	-0.011461677	-0.026191853	0.6961027	0.0065876655	0.071	79.0	159.35573267936707
38	40.669693	1.5827013	43.3916	39.58303	1000.0	1.6180546	3.0632055	26.824667	-1.2089736	156000	9.059906e-09	0.13737395	-0.010398658	-0.020383932	0.6897737	0.003020098	0.05075	79.0	163.68099927902222
39	44.05406	1.3350159	45.771435	42.08564	1000.0	1.7195195	3.0591161	25.851355	-0.83211315	160000	4.172325e-09	0.22562551	-0.012691386	-0.11395439	0.68702686	0.0071998024	0.0805	79.0	168.02941799163818
40	44.65139	1.6245965	47.012512	42.611908	1000.0	1.970914	2.9784338	26.62201	-0.36711413	164000	1.5616417e-08	0.20977299	-0.009940403	-0.063713625	0.6751809	0.003956208	0.063	79.0	172.15081810951233
41	45.645294	1.9316983	48.629936	43.74856	1000.0	2.0964212	2.9717984	26.176424	-0.30981046	168000	-1.4305115e-09	0.16934773	-0.011779563	-0.02259764	0.6662374	0.007676826	0.0795	79.0	176.67157292366028
42	46.081688	1.7885597	47.52271	43.02672	1000.0	2.0902538	2.948977	26.5033	-0.33619377	172000	-1.1920929e-08	0.16658546	-0.010394085	-0.04416313	0.6554818	0.004097038	0.06075	79.0	180.80159902572632
43	47.353394	3.0579681	51.374634	42.78618	1000.0	2.2696285	2.9930966	26.7542	-0.03109549	176000	-1.5497207e-08	0.16256592	-0.010459453	-0.03991621	0.65754175	0.00814746	0.077	79.0	185.16702103614807
44	49.084587	1.5977719	51.172348	46.69235	1000.0	2.3710217	2.8753753	26.34204	0.19836947	180000	3.5762786e-09	0.21055806	-0.012997278	-0.054826677	0.6561938	0.0061027985	0.08	79.0	189.56544375419617
45	50.569164	3.0361028	55.370228	47.22228	1000.0	2.6736457	2.9593916	27.203394	0.40894523	184000	1.07288365e-08	0.2802091	-0.013781838	-0.026880056	0.6261332	0.009979337	0.0915	79.0	194.02156925201416
46	54.8901	2.7295806	57.769913	50.517937	1000.0	2.9319146	3.0988722	26.787958	0.48276895	188000	2.3841857e-09	0.4693858	-0.013816732	-0.089392126	0.62376565	0.010306739	0.09675	79.0	198.2459909915924
47	54.242718	1.7646018	56.69437	51.718117	1000.0	2.9839246	2.95035	27.53689	0.82328725	192000	2.861023e-09	0.2693104	-0.014477226	-0.0962673	0.61047167	0.0061967364	0.082	79.0	202.53894209861755
48	54.277245	2.844031	57.499588	50.54935	1000.0	3.232441	2.8610938	27.403185	0.23146951	196000	-1.7821788e-08	0.24542195	-0.013561089	-0.07726537	0.59086466	0.0074036787	0.06575	79.0	206.8311173915863
49	62.68563	2.5064542	66.95459	60.67215	1000.0	3.4503243	2.8203444	26.878046	1.2161942	200000	2.7298928e-08	0.55511975	-0.011886528	-0.39419553	0.5745649	0.009527957	0.06775	79.0	211.01544952392578
